mesh,col,row
C-051,0,13
C-052,1,13
C-053,0,12
C-054,1,12
C-061,2,13
C-062,3,13
C-063,2,12
C-064,3,12
C-071,4,13
C-072,5,13
C-073,4,12
C-074,5,12
C-151,0,11
C-152,1,11
C-153,0,10
C-154,1,10
C-161,2,11
C-162,3,11
C-163,2,10
C-164,3,10
C-171,4,11
C-172,5,11
C-173,4,10
C-174,5,10
C-251,0,9
C-252,1,9
C-253,0,8
C-254,1,8
C-261,2,9
C-262,3,9
C-263,2,8
C-264,3,8
C-271,4,9
C-272,5,9
C-273,4,8
C-274,5,8
C-351,0,7
C-352,1,7
C-353,0,6
C-354,1,6
C-361,2,7
C-362,3,7
C-363,2,6
C-364,3,6
C-371,4,7
C-372,5,7
C-373,4,6
C-374,5,6
C-451,0,5
C-452,1,5
C-453,0,4
C-454,1,4
C-461,2,5
C-462,3,5
C-463,2,4
C-464,3,4
C-471,4,5
C-472,5,5
C-473,4,4
C-474,5,4
C-551,0,3
C-552,1,3
C-553,0,2
C-554,1,2
C-561,2,3
C-562,3,3
C-563,2,2
C-564,3,2
C-571,4,3
C-572,5,3
C-573,4,2
C-574,5,2
C-651,0,1
C-652,1,1
C-653,0,0
C-654,1,0
C-661,2,1
C-662,3,1
C-663,2,0
C-664,3,0
C-671,4,1
C-672,5,1
C-673,4,0
C-674,5,0
D-001,6,13
D-003,6,12
D-101,6,11
D-103,6,10
D-201,6,9
D-203,6,8
D-301,6,7
D-303,6,6
D-401,6,5
D-403,6,4
D-501,6,3
D-503,6,2
D-601,6,1
D-603,6,0
